# QU-ASPIRE (v0.01asp) -- ideas being looked at, not things the engine has.
#
# Columns, tab-separated:
#   idea	where it came from	verdict so far
#
# This is the "looking here and there" lane: how do we make Qu more OOP,
# easier, more intuitive. A row that turns out to be a bad idea moves to
# versions/garbage.tsv with `dead` and its reasoning intact -- the point
# of writing it down is that the NEXT person who has the same idea finds
# out why it was dropped instead of re-having it.
#
# Rows are proposals, not maturity claims. Some build on existing engine
# behavior; keep them out of the alphabetical function table.
Strict canonical lowering of method calls (`sig.fft()` beside `fft(sig)`)	Qu-Aspire lane; agent_co.txt review 2026-09-10	needs-a-decision-from-Ahmed -- methods already exist; choose strict lowering versus compatibility exceptions for modules, GUI and callable record fields. Existing function-variable shadowing differs between forms (99 versus 2). See agent_co.txt for AST rule, evidence and demonstration gate; no maturity promotion.
Making OOP less prominent in the public demos	2026-09-09 public-release hygiene audit; agent_co.txt review 2026-09-10	pursue -- repair the existing first-session route, absent README example path and conflicting installation instructions; current beginner chapters and README already use flat scientific code. Defer advanced notation, do not create another tutorial. Human demonstration gate in agent_co.txt.
Executable call contracts and local help for five beginner builtins	Observed help("mean") output; agent_co.txt review 2026-09-10	pursue -- bounded experiment for mean, fft, plot, size and read_csv using shared validation/help facts and runnable Qu examples; compare with reference links and drop if it requires a duplicate unchecked registry. No engine implementation or maturity promotion.
Slot-resolve every name at parse time, not only inside fast loops	Performance assessment relayed by Ahmed 2026-09-10; agent_co follow-up in agent_co.txt	PURSUE -- premise VERIFIED: env is HashMap<String, Value> (lib.rs:3301) and frames Vec<HashMap<String, Value>> (3314), so each name read outside the fast path hashes a string. Register machinery already exists to extend: FastExpr (3909), eval_fast(e, regs: &[f64]) (3921), CompiledFn (4769). Needs no JIT.
Widen the fast path to allow calls to pure numeric builtins inside fast loops	Same assessment	OPEN, but its headline example is STALE: the "while is 29x slower" figure was fixed -- BACKLOG.md:377 marks it [x], "measured at 1.1x now". The remaining claim (any call in the body ejects the loop to the tree walker) was NOT verified. Measure before scoping.
Fuse array expressions (Y = A .* B + C) into one element loop before evaluating	agent_co follow-up 2026-09-10, agent_co.txt	PURSUE per agent_co. Removes one intermediate array: 6 logical element reads/writes become 4. agent_co is explicit that this does NOT establish a speedup -- caches, compile cost, SIMD and size all matter. Gate: measure correctness, elapsed, prep, repeat-call time and allocated bytes on small AND large arrays; cover NaN/inf/signed-zero and aliasing; no FP reassociation or fma contraction that changes rounding.
Cache prepared execution plans and widen the existing scalar register tier	agent_co follow-up 2026-09-10, agent_co.txt	PURSUE per agent_co, CONDITIONAL on profiles showing repeated preparation is material. Note it corrects a common misreading: whole-function caching already EXISTS (CompiledFn ~4769), so this is extension, not a new subsystem. Gate: record cache hit/miss and prep cost, compare cold vs repeat, then redefine a function or change an input type and verify invalidation.
SIMD on fused kernels, plus output explaining why a computation was not optimized	agent_co follow-up 2026-09-10, agent_co.txt	PURSUE per agent_co, but ONLY after a fused baseline exists. Warns wider vectors do not fix memory traffic, and SIMD reductions may alter floating-point order. The explanation output must describe the actual chosen plan, not a separately maintained claim -- otherwise it becomes another lying surface.
Codex full audit 2026-09-11: 10 further ideas (N-D arrays, fit/optimizer state, filtfilt boundary policy, inverse STFT, stateful block filtering, sparse linear algebra, tensor/layer API, bounded array fusion, unified callable resolution, help provenance)	agent_co (Codex) audit, agent_co.txt; full report and runnable probes at .claude/worktrees/codex-qu-audit-20260911/docs/reviews/qu-audit-2026-09-11.{md,qu} plus captured output	OPEN. Three are marked needs-a-decision-from-Ahmed: unit contract, tensor/layer API, unified flat-vs-method callable resolution. The rest are pursue with stated gates. Codex ran against master snapshot 3cca8198 on an isolated branch after finding the ROOT checkout parked and 286 commits behind -- it did not use the parked tree as an oracle.
File-level `import` is a flat include, not a module	Qu-Aspire lane; Ahmed 2026-09-11: "is a file acting as a class, can we make it a module instead"	OPEN -- premise VERIFIED. `import "mymod.qu"` copies EVERYTHING from the file into the caller scope, functions and top-level variables alike, with no qualified form. Probe: mymod.qu holding SECRET=123 and function helper(a); main.qu doing import "mymod.qu" then print(helper(5)) => 10 and print(SECRET) => 123. The namespaced spelling does not exist: print(mymod.helper(5)) => "`mymod` is not defined". So a .qu file behaves as a flat include whose private state leaks, which is what makes it feel like a class rather than a module. Two open sub-questions for whoever takes this: (1) native modules DECLARE namespacing -- MODULE_EXPORTS lists ("xlsx", read/sheets/write) and ("codec", ...) -- so the mechanism exists in the engine, but I could not reach it: import "xlsx" looks for a FILE and fails, and bare xlsx.read says "`xlsx` is not defined". Either there is a third spelling I did not find or the namespaced native path is unreachable; establish which BEFORE designing on top of it. (2) Scoping inside functions is already correct and does not need changing: assignment is local (x=1 outside, x=99 inside, prints 1), reads fall through (prints 8), and `global` writes through (prints 42).
