# REDACTED, DEAD, RESERVED, INCOMPLETE AND BROKEN -- the source for Garbage.txt.
#
# Columns, tab-separated:
#   item	verdict	full report
#
# verdict is one of:
#   dead        nothing reaches it; remove it
#   reserved    deliberately inert; KEEP -- it is holding a place
#   incomplete  works partially; finish it
#   broken      wrong behaviour; fix it, do not remove it
#
# Only `dead` is garbage. The other three are quarantined here so they
# are visible, not so they are deleted. Collapsing the four into one
# list would throw away work that is midway done.
#
# Every row must carry a report that says how it was checked, so the
# next reader can re-run the check instead of trusting the row.
# Rejected Aspire proposals also use dead; this rejects the proposal,
# not existing engine functionality. Full replies live in agent_co.txt.
val	reserved	Identity function today -- `"val" => Ok(arg0(&args)?.clone())` at engine/crates/qu-interp/src/lib.rs. It is NOT dead: IMPL.md:172 reserves it for M4's lazy `:=` fusion, where it will force a deferred binding. Redacting it would remove the reservation and the fusion work would have to re-take the name. Re-check: grep -n '\"val\" =>' engine/crates/qu-interp/src/lib.rs and grep -n 'val(x)' IMPL.md.
Stmt::Deferred / `:=`	incomplete	The deferred-binding syntax parses and runs, but evaluates EAGERLY -- the interpreter's handler is a stopgap, self-described at IMPL.md:2993 as "eager in M2; the fusing planner is a later milestone". So a program using `:=` gets correct answers with none of the fusion the syntax promises. Not a bug to file and not a feature to redact: it is M4 work that is partly landed. Re-check: grep -n 'eager in M2' IMPL.md.
Aspire proposal: separate OO numeric wrapper implementations	dead	Rejected by agent_co, 2026-09-10; full case for/against in agent_co.txt. Fluent discovery is attractive, but a second implementation of fft/mean creates another place for units, keywords and defaults to disagree. Receiver chaining already exists. Re-check engine/crates/qu-interp/src/lib.rs eval_call, call_named and method_chain_runs. Reopen only for a demonstrated missing representation capability with computation delegated to the canonical call path. This rejects a proposal, not existing methods.
Aspire proposal: silently repair ambiguous shapes or guess physical units	dead	Rejected by agent_co, 2026-09-10; full case for/against in agent_co.txt. Fewer errors may ease a first script but cannot justify a plausible answer with the wrong axis or units. Multiple interpretations can be valid; input shape does not establish experimental intent. Re-check README.md's Silence is the worst failure commitment and docs/qu-language-spec.md shape/unit contracts. Prefer an actionable error and an explicit operation or uniquely defined documented rule. Existing specified broadcasting and conversions are not rejected.
Aspire proposal: another OOP-first beginner tutorial	dead	Rejected by agent_co, 2026-09-10; full case for/against in agent_co.txt. An objects-first story might help experienced OO users, but duplicate onboarding adds conflicting instructions and concepts before a first measurement. Re-check book/src/SUMMARY.md and book/src/getting-started/start-here.md and from-zero.md: beginner scientific routes already exist. Repair their installation/entry consistency and defer advanced OOP. Reopen only for an observed beginner task that revising existing chapters cannot address; keep advanced OOP material.
Aspire proposal: add find/contains substring builtins to fix slow text scripts	dead	Rejected 2026-09-10 by the version organizer, not by an agent. The premise is false: substring search already exists and works. Re-check: qu eval on index_of("alpha,beta,gamma", "beta") returns 6 and contains(...) returns true; index_of, indexof, contains, starts_with, ends_with, replace and substr are all in BUILTIN_NAMES. gen_version_ladder.qu itself uses index_of for substring search. If text really is 10x slower than Python, the cause is elsewhere and must be measured before adding builtins that duplicate index_of.
book/src/performance.md while-condition description	broken	Found by agent_co 2026-09-10 during the speed review. The page describes while-condition name collection as it used to work; the engine now does it in try_fast_while_plan. Related: the "while is 29x slower than for" figure quoted in the performance assessment is also stale -- BACKLOG.md:377 marks it [x] and measured at 1.1x. Documentation drift, not an engine defect: fix the page, do not remove the feature.
Unit handling: scalar rejects what vector accepts	broken	CONFIRMED 2026-09-11 against the master-vintage binary (relocated-session, HEAD 3cca8198, 0 ahead/0 behind; date any binary with `qu eval "tic(1)"` -- it must suggest help("tic"), not available("tic")). CORRECTED after agent_co (Codex) caught an error in the first version of this row: I had written that abs STRIPS the unit from a vector. It does NOT -- the tag survives. Verified: print("{abs([1 ohm, -2.5 kohm])}") => [1, 2500] Ohm. My original probe used print(...) and saw [1, 2500], which is a DIFFERENT defect, recorded separately below. The real inconsistency is scalar-vs-shape-vs-arity: abs(9 ohm) errors "cannot apply the operation to unit" while abs on a unit VECTOR works and keeps the tag; sin(9 ohm)=>0.412118, exp(1 ohm)=>2.718282, log(9 ohm)=>2.197225, sqrt(9 ohm)=>3 all unwrap the same scalar; max(9 ohm)/min(9 ohm)/mean(9 ohm) error "expected a numeric vector, found unit" while max([9 ohm])=>9, sum([9 ohm])=>9, max(9 ohm, 10 ohm)=>10 succeed. Note abs is stricter in the one case where strictness is LEAST justified: abs of a resistance is a resistance, sin of a resistance is dimensionally meaningless and currently succeeds. Silent scalar unwrapping is documented (docs/design/physical-units.md phase 2); this inconsistency is not. Ahmed to choose the rule -- precedent is his "1 V == 1 is no" ruling.
print(v) and "{v}" disagree on unit vectors	broken	FOUND 2026-09-11 while checking Codex's correction; this is what made me misreport the row above. Two render paths give different answers for the SAME value. Scalars agree: print(1 ohm) => 1 Ohm and print("{1 ohm}") => 1 Ohm. Vectors do not: print([1 ohm, 2 ohm]) => [1, 2] but print("{[1 ohm, 2 ohm]}") => [1, 2] Ohm. Not specific to ohms or to abs -- print([1 s, 2 s]) => [1, 2] versus "{...}" => [1, 2] s. So print() silently drops the unit for vectors while keeping it for scalars, and string interpolation keeps it for both. The consequence is worse than cosmetic: it makes unit loss LOOK like it happened when it did not, which is exactly how the row above got written wrong.
zeros/ones silently drop dimensions beyond the second	broken	FOUND by agent_co (Codex) P04/P10, CONFIRMED 2026-09-11 on the master-vintage binary. size(zeros(2,3,4)) => [2, 3]; size(zeros([2,3,4])) => [2, 3]; size(ones(2,3,4)) => [2, 3]. The third dimension is discarded in silence -- no error, no warning, a plausible-looking wrong shape. Fractional sizes are also accepted: size(zeros(2.5,3)) => [2, 3]. Codex traces it to shape_args marking ALL arguments read while consuming only two, which is why the kwarg/arity validation added recently does not catch it. Codex also reports higher-dimensional MAT imports flatten dimensions (source-only, not run here). This is the silent-wrong-answer class, not a missing feature: rejecting invalid rank and fractional sizes is a small fix and must not wait for a general N-D redesign.
plot() silently discards a string y-series and plots the row index	broken	FOUND by agent_q, CONFIRMED 2026-09-11 on the master-vintage binary. plot([1,2,3], ["a","b","c"]) SUCCEEDS -- "plot: figure 1 (3 points)" -- and plots the row index 0..n-1 as y, discarding the data entirely. The same call with the strings in X is correctly rejected: plot(["a","b","c"], [1,5,9]) => "expected a numeric vector; this list holds string at position 0". So validation is asymmetric between the two arguments. Proof the data is gone: plotting ["a","b","c"], ["1","5","9"] and ["z","z","z"] each to SVG gives three BYTE-IDENTICAL files (md5 5c151fcf75a98aafd065c9871c379c62, 8110 bytes each). The reader sees a clean line and has no signal that none of their data was plotted. Documented contract is numbers -- book/src/stdlib/plotting.md line 517. Re-check: qu eval "plot([1,2,3], [\"a\",\"b\",\"c\"])" then compare savefig output across different string data. This is the worst class in the file: not an error, not a missing feature, but a plausible figure containing none of the input.
